Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Octopus,Stationary,,Alert Sitting,STATE,0.000,1157.269,1157.269,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Clam1,Stationary,,Alert Sitting,STATE,0.000,1800.799,1800.799,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Clam1,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Clam2,Stationary,,Alert Sitting,STATE,0.000,1800.799,1800.799,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Clam2,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Clam3,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Hermit Crab1,Burrow,Evasion,,STATE,0.000,442.361,442.361,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Hermit Crab1,Lontano,,,STATE,0.000,1800.799,1800.799,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Hermit Crab2,Stationary,,Alert Sitting,STATE,0.000,81.116,81.116,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Hermit Crab2,Lontano,,,STATE,0.000,1800.799,1800.799,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Hermit Crab3,Roaming,,Beyond 1/2 tank L,STATE,0.000,385.755,385.755,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Hermit Crab3,Lontano,,,STATE,0.000,1337.529,1337.529,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Snail1,Climb,Evasion,,STATE,0.000,1800.799,1800.799,,
Loki S1030005,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030005.MP4,1800.800,29.97,exposure,6,crepuscular,yes,Snail1,Roaming,,Within 1/2 tank L,STATE,0.000,385.803,385.803,,
