Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Ragnar S1210001,2022-06-27 10:43:40,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1210001.MP4,1800.800,29.97,pre,6,day,yes,Octopus,Feeding,Feeding,Hermit crabs,STATE,0.000,1800.799,1800.799,,
Ragnar S1210001,2022-06-27 10:43:40,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1210001.MP4,1800.800,29.97,pre,6,day,yes,Octopus,Stationary,,Alert Sitting,STATE,0.000,850.826,850.826,,
Ragnar S1210001,2022-06-27 10:43:40,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1210001.MP4,1800.800,29.97,pre,6,day,yes,Clam1,Burrow,Evasion,,STATE,0.000,1800.799,1800.799,,
Ragnar S1210001,2022-06-27 10:43:40,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1210001.MP4,1800.800,29.97,pre,6,day,yes,Clam1,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1210001,2022-06-27 10:43:40,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1210001.MP4,1800.800,29.97,pre,6,day,yes,Clam2,Stationary,,Alert Sitting,STATE,0.000,185.666,185.666,,
Ragnar S1210001,2022-06-27 10:43:40,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1210001.MP4,1800.800,29.97,pre,6,day,yes,Clam2,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1210001,2022-06-27 10:43:40,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1210001.MP4,1800.800,29.97,pre,6,day,yes,Clam3,Stationary,,Unknown,STATE,0.000,1800.799,1800.799,,
Ragnar S1210001,2022-06-27 10:43:40,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1210001.MP4,1800.800,29.97,pre,6,day,yes,Clam3,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1210001,2022-06-27 10:43:40,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1210001.MP4,1800.800,29.97,pre,6,day,yes,Hermit Crab1,Roaming,,Beyond 1/2 tank L,STATE,0.000,274.436,274.436,,
Ragnar S1210001,2022-06-27 10:43:40,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun27 (exp)/S1210001.MP4,1800.800,29.97,pre,6,day,yes,Hermit Crab1,Lontano,,,STATE,0.000,1014.863,1014.863,,
