Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Octopus,Under Refuge,Evasion,,STATE,0.000,388.222,388.222,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Octopus,Stationary,,Alert Sitting,STATE,0.000,380.346,380.346,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Clam1,Burrow,Evasion,,STATE,0.000,1802.569,1802.569,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Clam1,Vicinity,,,STATE,0.000,432.623,432.623,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Clam2,Unobservable,,,STATE,0.000,627.294,627.294,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Clam3,Unobservable,,,STATE,0.000,627.294,627.294,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Hermit Crab1,Burrow,Evasion,,STATE,0.000,261.377,261.377,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Hermit Crab1,Vicinity,,,STATE,0.000,432.623,432.623,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Hermit Crab2,Unobservable,,,STATE,0.000,627.294,627.294,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Hermit Crab3,Unobservable,,,STATE,0.000,627.294,627.294,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Snail1,Burrow,Evasion,,STATE,0.000,1802.569,1802.569,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Snail1,Vicinity,,,STATE,0.000,432.622,432.622,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Snail2,Climb,Evasion,,STATE,0.000,1802.569,1802.569,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Snail2,Vicinity,,,STATE,0.000,426.867,426.867,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Snail3,Burrow,Evasion,,STATE,0.000,1323.123,1323.123,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Snail3,Vicinity,,,STATE,0.000,432.623,432.623,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Swim Crab1,Climb,Evasion,,STATE,0.000,1802.569,1802.569,,
Loki S1030001,2022-06-11 10:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030001.MP4,1802.569,29.97,pre,6,day,yes,Swim Crab1,Vicinity,,,STATE,0.000,396.556,396.556,,
