Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Octopus,Roaming,,Identity,STATE,0.000,78.155,78.155,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Clam1,Stationary,,Unknown,STATE,0.000,1626.625,1626.625,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Clam2,Burrow,Evasion,,STATE,0.000,1626.625,1626.625,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Clam3,Burrow,Evasion,,STATE,0.000,1626.625,1626.625,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Hermit Crab1,Stationary,,Alert Sitting,STATE,0.000,652.928,652.928,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Hermit Crab2,Unobservable,,,STATE,0.000,1626.625,1626.625,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Hermit Crab3,Unobservable,,,STATE,0.000,1626.625,1626.625,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Snail1,Climb,Evasion,,STATE,0.000,288.199,288.199,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Snail2,Climb,Evasion,,STATE,0.000,1626.625,1626.625,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Snail3,Stationary,,Unknown,STATE,0.000,1626.625,1626.625,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Swim Crab1,Unobservable,,,STATE,0.000,1162.571,1162.571,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Swim Crab2,Unobservable,,,STATE,0.000,1626.625,1626.625,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Swim Crab3,Unobservable,,,STATE,0.000,1626.625,1626.625,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Octopus,Climb,Evasion,,STATE,22.795,66.758,43.963,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Octopus,Stationary,,Alert Sitting,STATE,78.156,121.274,43.118,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Octopus,Under Refuge,Evasion,,STATE,94.438,1185.368,1090.930,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Octopus,Color change,,Dark to Light,POINT,96.066,96.066,NA,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Octopus,Stationary,,Quiet,STATE,121.275,316.714,195.439,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Snail1,Stationary,,Unknown,STATE,288.200,1626.625,1338.425,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Octopus,Stationary,,Alert Sitting,STATE,316.715,421.716,105.001,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Octopus,Stationary,,Unknown,STATE,421.717,986.646,564.929,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Hermit Crab1,Roaming,,Beyond 1/2 tank L,STATE,652.929,735.969,83.040,,
Haliai S1530012,2022-07-12 10:15:00,,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July12 (exp)/S1530012.MP4,1626.630,29.97,pre,6,day,yes,Hermit Crab1,Stationary,,Alert Sitting,STATE,735.970,1001.374,265.404,,
