Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Octopus,Feeding,Feeding,Swimmer crabs,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Octopus,Stationary,,Alert Sitting,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Clam1,Stationary,,Unknown,STATE,0.000,652.540,652.540,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Clam1,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Clam2,Stationary,,Unknown,STATE,0.000,435.087,435.087,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Clam2,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Clam3,Stationary,,Unknown,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Clam3,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab1,Stationary,,Alert Sitting,STATE,0.000,109.957,109.957,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab1,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab2,Roaming,,Within 1/2 tank L,STATE,0.000,171.246,171.246,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab2,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab3,Stationary,,Alert Sitting,STATE,0.000,418.202,418.202,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab3,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Snail1,Climb,Evasion,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Snail1,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Snail2,Stationary,,Unknown,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Snail2,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Snail3,Stationary,,Alert Sitting,STATE,0.000,616.488,616.488,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Snail3,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Swim Crab1,Unobservable,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Swim Crab2,Under Refuge,Evasion,,STATE,0.000,1378.990,1378.990,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Swim Crab2,Stationary,,Unknown,STATE,0.000,45.064,45.064,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Swim Crab2,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Swim Crab3,Stationary,,Unknown,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Swim Crab3,Lontano,,,STATE,0.000,1800.799,1800.799,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Swim Crab2,Roaming,,Beyond 1/2 tank L,STATE,45.065,55.879,10.814,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Swim Crab2,Stationary,,Alert Sitting,STATE,55.880,1378.989,1323.109,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab1,Roaming,,Beyond 1/2 tank L,STATE,109.958,250.560,140.602,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab2,Stationary,,Unknown,STATE,171.247,472.280,301.033,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab1,Stationary,,Alert Sitting,STATE,250.561,301.033,50.472,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab1,Roaming,,Beyond 1/2 tank L,STATE,301.034,340.786,39.752,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab1,Stationary,,Alert Sitting,STATE,340.787,893.812,553.025,,
Ragnar S1090003,2022-06-22 11:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Ragnar/Jun22 (pre)/S1090003.MP4,1800.800,29.97,pre,1,day,no,Hermit Crab3,Roaming,,Beyond 1/2 tank L,STATE,418.203,450.649,32.446,,
