Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Octopus,Feeding,Feeding,Hermit crabs,STATE,0.000,196.496,196.496,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Octopus,Stationary,,Alert Sitting,STATE,0.000,1802.569,1802.569,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Clam1,Unobservable,,,STATE,0.000,1802.536,1802.536,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Clam2,Stationary,,Alert Sitting,STATE,0.000,1043.509,1043.509,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Clam2,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Clam3,Stationary,,Alert Sitting,STATE,0.000,1043.509,1043.509,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Clam3,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab1,Under Refuge,Evasion,,STATE,0.000,726.460,726.460,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab1,Stationary,,Alert Sitting,STATE,0.000,726.459,726.459,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab1,Lontano,,,STATE,0.000,1800.799,1800.799,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab2,Stationary,,Unknown,STATE,0.000,1471.304,1471.304,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab2,Lontano,,,STATE,0.000,1800.799,1800.799,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab3,Unobservable,,,STATE,0.000,1802.536,1802.536,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Snail1,Climb,Evasion,,STATE,0.000,1802.536,1802.536,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Snail1,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Snail2,Burrow,Evasion,,STATE,0.000,1802.503,1802.503,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Snail2,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Snail3,Under Refuge,Evasion,,STATE,0.000,1802.503,1802.503,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Snail3,Roaming,,Within 1/2 tank L,STATE,0.000,1802.503,1802.503,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Snail3,Vicinity,,,STATE,0.000,1800.799,1800.799,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Swim Crab1,Stationary,,Alert Sitting,STATE,0.000,1802.469,1802.469,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Swim Crab1,Lontano,,,STATE,0.000,1800.799,1800.799,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Swim Crab2,Burrow,Evasion,,STATE,0.000,977.310,977.310,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Swim Crab2,Lontano,,,STATE,0.000,1800.799,1800.799,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Swim Crab3,Unobservable,,,STATE,0.000,1802.503,1802.503,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Octopus,Under Refuge,Evasion,,STATE,322.656,1802.569,1479.913,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab1,Roaming,,Beyond 1/2 tank L,STATE,726.460,1213.145,486.685,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Swim Crab2,Stationary,,Alert Sitting,STATE,977.311,1802.503,825.192,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Clam2,Stationary,,Unknown,STATE,1043.510,1802.502,758.992,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Clam3,Stationary,,Unknown,STATE,1043.510,1802.503,758.993,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab1,Stationary,,Alert Sitting,STATE,1213.146,1270.837,57.691,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab1,Roaming,,Beyond 1/2 tank L,STATE,1270.838,1407.840,137.002,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Octopus,Color change,,Light to Dark,POINT,1276.310,1276.310,NA,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab1,Stationary,,Alert Sitting,STATE,1407.841,1802.503,394.662,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Octopus,Color change,,Half&half,POINT,1451.084,1451.084,NA,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab2,Roaming,,Beyond 1/2 tank L,STATE,1471.305,1543.476,72.171,,
Loki S1030006,2022-06-11 12:31:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030006.MP4,1802.569,29.97,exposure,6,crepuscular,yes,Hermit Crab2,Stationary,,Alert Sitting,STATE,1543.477,1802.536,259.059,,
