Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Stationary,,Alert Sitting,STATE,0.000,267.300,267.300,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Clam1,Stationary,,Unknown,STATE,0.000,1788.180,1788.180,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Clam1,Lontano,,,STATE,0.000,540.779,540.779,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Clam2,Stationary,,Unknown,STATE,0.000,1788.179,1788.179,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Clam2,Lontano,,,STATE,0.000,540.779,540.779,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Clam3,Unobservable,,,STATE,0.000,1788.180,1788.180,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Hermit Crab1,Burrow,Evasion,,STATE,0.000,1788.180,1788.180,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Hermit Crab1,Vicinity,,,STATE,0.000,607.524,607.524,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Hermit Crab2,Roaming,,Beyond 1/2 tank L,STATE,0.000,360.519,360.519,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Hermit Crab2,Lontano,,,STATE,0.000,547.960,547.960,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Hermit Crab3,Stationary,,Alert Sitting,STATE,0.000,843.616,843.616,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Hermit Crab3,Vicinity,,,STATE,0.000,547.959,547.959,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Snail1,Climb,Evasion,,STATE,0.000,1788.180,1788.180,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Snail1,Lontano,,,STATE,0.000,547.959,547.959,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Snail2,Roaming,,Beyond 1/2 tank L,STATE,0.000,333.480,333.480,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Snail2,Lontano,,,STATE,0.000,540.779,540.779,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Snail3,Burrow,Evasion,,STATE,0.000,1788.180,1788.180,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Snail3,Lontano,,,STATE,0.000,540.779,540.779,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab1,Under Refuge,Evasion,,STATE,0.000,607.476,607.476,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab1,Stationary,,Alert Sitting,STATE,0.000,607.475,607.475,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab1,Lontano,,,STATE,0.000,540.779,540.779,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab2,Stationary,,Unknown,STATE,0.000,942.759,942.759,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab2,Vicinity,,,STATE,0.000,547.958,547.958,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab3,Climb,Evasion,,STATE,0.000,1800.300,1800.300,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab3,Lontano,,,STATE,0.000,547.959,547.959,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Climb,Evasion,,STATE,267.301,522.422,255.121,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Snail2,Stationary,,Unknown,STATE,333.481,1788.180,1454.699,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Hermit Crab2,Stationary,,Alert Sitting,STATE,360.520,576.831,216.311,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Roaming,,Identity,STATE,522.422,554.787,32.365,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Clam1,Vicinity,,,STATE,540.780,1797.193,1256.413,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Clam2,Vicinity,,,STATE,540.780,1797.193,1256.413,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Snail2,Vicinity,,,STATE,540.780,1800.799,1260.019,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Snail3,Vicinity,,,STATE,540.780,1800.799,1260.019,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab1,Vicinity,,,STATE,540.780,941.343,400.563,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Grope,,Hermit crabs,POINT,542.776,542.776,NA,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab2,Lontano,,,STATE,547.959,1800.799,1252.840,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Hermit Crab3,Lontano,,,STATE,547.960,1800.799,1252.839,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Snail1,Vicinity,,,STATE,547.960,1800.799,1252.839,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab3,Vicinity,,,STATE,547.960,1800.799,1252.839,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Hermit Crab2,Vicinity,,,STATE,547.961,1362.765,814.804,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Stationary,,Alert Sitting,STATE,554.788,596.395,41.607,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Hermit Crab2,Roaming,,Within 1/2 tank L,STATE,576.832,937.351,360.519,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Roaming,,Identity,STATE,596.396,622.221,25.825,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab1,Roaming,,Within 1/2 tank L,STATE,607.476,610.513,3.037,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Hermit Crab1,Lontano,,,STATE,607.525,1800.799,1193.274,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab1,Stationary,,Alert Sitting,STATE,610.514,776.455,165.941,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Grope,,Clams,POINT,611.081,611.081,NA,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Grope,,Snails,POINT,611.512,611.512,NA,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Under Refuge,Evasion,,STATE,618.285,776.443,158.158,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Stationary,,Alert Sitting,STATE,622.222,776.443,154.221,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Predation,Feeding,Swimmer crabs|Failed,POINT,776.456,776.456,NA,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab1,Roaming,,Within 1/2 tank L,STATE,776.456,780.525,4.069,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab1,Climb,Evasion,,STATE,776.932,798.552,21.620,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Stationary,,Alert Sitting,STATE,778.711,789.789,11.078,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Climb,Evasion,,STATE,778.712,786.286,7.574,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Predation,Feeding,Swimmer crabs|Failed,POINT,778.745,778.745,NA,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab1,Roaming,,Beyond 1/2 tank L,STATE,780.526,800.453,19.927,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Roaming,,Identity,STATE,789.790,805.371,15.581,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Swim Crab1,Roaming,,Within 1/2 tank L,STATE,800.454,803.452,2.998,,
Loki S1030004,2022-06-11 12:01:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/S1030004.MP4,1802.569,29.97,pre,6,crepuscular,yes,Octopus,Color change,,Light to Dark,POINT,801.602,801.602,NA,,
