Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Octopus,Stationary,,Quiet,STATE,0.000,1227.143,1227.143,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Clam1,Stationary,,Unknown,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Clam1,Vicinity,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Clam2,Unobservable,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Clam3,Unobservable,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Hermit Crab1,Stationary,,Unknown,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Hermit Crab1,Vicinity,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Hermit Crab2,Unobservable,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Hermit Crab3,Unobservable,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Snail1,Climb,Evasion,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Snail1,Vicinity,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Snail2,Roaming,,Beyond 1/2 tank L,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Snail2,Lontano,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Snail3,Unobservable,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Snail3,Vicinity,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab1,Stationary,,Alert Sitting,STATE,0.000,960.907,960.907,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab1,Lontano,,,STATE,0.000,1222.277,1222.277,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab2,Climb,Evasion,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab2,Vicinity,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab3,Unobservable,,,STATE,0.000,1401.901,1401.901,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab1,Roaming,,Beyond 1/2 tank L,STATE,960.908,974.877,13.969,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab1,Stationary,,Alert Sitting,STATE,974.878,1039.847,64.969,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab1,Roaming,,Beyond 1/2 tank L,STATE,1039.848,1222.277,182.429,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab1,Climb,Evasion,,STATE,1195.615,1229.294,33.679,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab1,Roaming,,Within 1/2 tank L,STATE,1222.278,1229.883,7.605,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab1,Vicinity,,,STATE,1222.278,1401.901,179.623,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Octopus,Stationary,,Alert Sitting,STATE,1227.144,1401.901,174.757,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Octopus,Color change,,Other,POINT,1228.630,1228.630,NA,,
Loki S1080012,2022-06-14 10:10:00,,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June14 (post)/S1080012.MP4,1401.901,29.97,post,9,day,no,Swim Crab1,Stationary,,Alert Sitting,STATE,1229.884,1401.901,172.017,,
